word,type
jokasyksyinen,adjektiivi
juotu,adjektiivi
juovikas,adjektiivi
jälkimmäinen,adjektiivi
jälkiteollinen,adjektiivi
jämerä,adjektiivi
jämpti,adjektiivi
jämtti,adjektiivi
jämäkkä,adjektiivi
jännitteinen,adjektiivi
jännittävä,adjektiivi
jännä,adjektiivi
jänskä,adjektiivi
jänteikäs,adjektiivi
järeä,adjektiivi
jälkikapitalistinen,adjektiivi
järisyttävä,adjektiivi
järjenvastainen,adjektiivi
järjestelmällinen,adjektiivi
järjestelmäriippumaton,adjektiivi
järjestyksetön,adjektiivi
järjestämätön,adjektiivi
järjetön,adjektiivi
järkeenkäypä,adjektiivi
järkevä,adjektiivi
järkiperäinen,adjektiivi
järkipuoli,adjektiivi
järkky,adjektiivi
järkkymätön,adjektiivi
järjellinen,adjektiivi
juovainen,adjektiivi
jälkijättöinen,adjektiivi
jäkälätön,adjektiivi
jurakautinen,adjektiivi
juridinen,adjektiivi
juro,adjektiivi
jurpo,adjektiivi
juttelematon,adjektiivi
juudealainen,adjektiivi
juukalainen,adjektiivi
juureton,adjektiivi
juutalainen,adjektiivi
juutalais-bolševistinen,adjektiivi
juutalais-kristillinen,adjektiivi
juutalaisvastainen,adjektiivi
jälkeenjäänyt,adjektiivi
juvalainen,adjektiivi
jykevä,adjektiivi
jyllantilainen,adjektiivi
jymäkkä,adjektiivi
jyreä,adjektiivi
jyrkeä,adjektiivi
jyrkiä,adjektiivi
jyrkkä,adjektiivi
jyrkkärantainen,adjektiivi
jytky,adjektiivi
jyväskyläläinen,adjektiivi
jähmeä,adjektiivi
jäinen,adjektiivi
juveniili,adjektiivi
jokapäiväinen,adjektiivi
jokakuinen,adjektiivi
jokakeväinen,adjektiivi
istanbulilainen,adjektiivi
istumaton,adjektiivi
isällinen,adjektiivi
isänmaallinen,adjektiivi
isätön,adjektiivi
italialainen,adjektiivi
italiankielinen,adjektiivi
itara,adjektiivi
iteratiivinen,adjektiivi
itkevä,adjektiivi
itkuinen,adjektiivi
itkupotkuraivarimainen,adjektiivi
israelilainen,adjektiivi
itsehallinnollinen,adjektiivi
itsekäs,adjektiivi
itselataava,adjektiivi
itselatautuva,adjektiivi
itsemurhanhimoinen,adjektiivi
itsenäinen,adjektiivi
itseohjautuva,adjektiivi
itsepintainen,adjektiivi
itsepäinen,adjektiivi
itserakas,adjektiivi
itseriittoinen,adjektiivi
itsesiliävä,adjektiivi
itsestäänselvä,adjektiivi
itsekeskeinen,adjektiivi
itsetoiminen,adjektiivi
isoääninen,adjektiivi
isovatsainen,adjektiivi
irrationaalinen,adjektiivi
irstas,adjektiivi
irtain,adjektiivi
irtonainen,adjektiivi
irvokas,adjektiivi
isentrooppinen,adjektiivi
iskeeminen,adjektiivi
islamilainen,adjektiivi
islaminuskoinen,adjektiivi
islamistinen,adjektiivi
islanninkielinen,adjektiivi
islantilainen,adjektiivi
isovenäläinen,adjektiivi
iso,adjektiivi
isoinen,adjektiivi
isojokelainen,adjektiivi
isokenkäinen,adjektiivi
isokokoinen,adjektiivi
isokoorinen,adjektiivi
isokyröläinen,adjektiivi
isokätinen,adjektiivi
isomeerinen,adjektiivi
isometrinen,adjektiivi
isostaattinen,adjektiivi
isoterminen,adjektiivi
isotooppinen,adjektiivi
isobaarinen,adjektiivi
itsetuhoinen,adjektiivi
itsetuhoutuva,adjektiivi
itsetyytyväinen,adjektiivi
jalompi,adjektiivi
jalosukuinen,adjektiivi
jalustaton,adjektiivi
jamaikalainen,adjektiivi
jambinen,adjektiivi
janoinen,adjektiivi
jaokkeinen,adjektiivi
jaollinen,adjektiivi
japanilainen,adjektiivi
japaninkielinen,adjektiivi
jatkumaton,adjektiivi
jatkuva,adjektiivi
jalomielinen,adjektiivi
jauhemainen,adjektiivi
jauhoton,adjektiivi
jeesuksellinen,adjektiivi
jeeveli,adjektiivi
jemeniläinen,adjektiivi
jesuiittamainen,adjektiivi
jihadistinen,adjektiivi
joensuulainen,adjektiivi
johdonmukainen,adjektiivi
johdoton,adjektiivi
johtava,adjektiivi
johtimeton,adjektiivi
jokakesäinen,adjektiivi
jauhomainen,adjektiivi
jalo,adjektiivi
jalkineeton,adjektiivi
jalaton,adjektiivi
itsetön,adjektiivi
itsevaltainen,adjektiivi
itsevarma,adjektiivi
itäinen,adjektiivi
itämainen,adjektiivi
itämerensuomalainen,adjektiivi
itämätön,adjektiivi
itäsaksalainen,adjektiivi
itäslaavilainen,adjektiivi
itäsuomalainen,adjektiivi
itätimorilainen,adjektiivi
itävaltalainen,adjektiivi
ivallinen,adjektiivi
iäinen,adjektiivi
iäkäs,adjektiivi
iänikuinen,adjektiivi
iätön,adjektiivi
jaavalainen,adjektiivi
jaettava,adjektiivi
jaettu,adjektiivi
jainalainen,adjektiivi
jakaantunut,adjektiivi
jakamaton,adjektiivi
jakautunut,adjektiivi
jakomielitautinen,adjektiivi
jaksoittainen,adjektiivi
jaksollinen,adjektiivi
järkyttävä,adjektiivi
