word,type,age
bulevardi,substantiivi,new
bulgaari,substantiivi,new
bulkki,substantiivi,new
bulldoggi,substantiivi,new
bulvaani,substantiivi,new
bumerangi,substantiivi,new
bunkkeri,substantiivi,new
buprenorfiini,substantiivi,new
burgundi,substantiivi,new
burjaatti,substantiivi,new
burleski,substantiivi,new
burmantragopaani,substantiivi,new
bursiitti,substantiivi,new
buspironi,substantiivi,new
bussi,substantiivi,new
bussikuski,substantiivi,new
bussipysäkki,substantiivi,new
butaani,substantiivi,new
buteeni,substantiivi,new
buumi,substantiivi,new
buuri,substantiivi,new
buutsi,substantiivi,new
byretti,substantiivi,new
byrokraatti,substantiivi,new
byrokratisointi,substantiivi,new
bändi,substantiivi,new
carolinanaratti,substantiivi,new
cayennepippuri,substantiivi,new
charmantti,adjektiivi,new
charmi,substantiivi,new
chatti,substantiivi,new
chili,substantiivi,new
clumberinspanieli,substantiivi,new
cockerspanieli,substantiivi,new
coulombi,substantiivi,new
daami,substantiivi,new
dadaismi,substantiivi,new
dadaisti,substantiivi,new
daktyyli,substantiivi,new
dalmaatti,substantiivi,new
daltonismi,substantiivi,new
damaski,substantiivi,new
damasti,substantiivi,new
dargi,substantiivi,new
dari,substantiivi,new
darvinismi,substantiivi,new
darwinismi,substantiivi,new
dasymetri,substantiivi,new
datanomi,substantiivi,new
datiivi,substantiivi,new
debatti,substantiivi,new
debentuuri,substantiivi,new
debiili,substantiivi,new
debuggeri,substantiivi,new
debytantti,substantiivi,new
debyytti,substantiivi,new
defibrillaattori,substantiivi,new
deismi,substantiivi,new
deisti,substantiivi,new
deitti,substantiivi,new
dekaani,substantiivi,new
dekabristi,substantiivi,new
dekadenssi,substantiivi,new
dekadentti,adjektiivi,new
dekadi,substantiivi,new
dekametri,substantiivi,new
dekantointi,substantiivi,new
dekantteri,substantiivi,new
dekkari,substantiivi,new
dekki,substantiivi,new
dekriminalisointi,substantiivi,new
dekstriini,substantiivi,new
dekstrometorfaani,substantiivi,new
dekstroosi,substantiivi,new
delegaatti,substantiivi,new
delegointi,substantiivi,new
delfiini,substantiivi,new
demagnetointi,substantiivi,new
demagogi,substantiivi,new
demantoidi,substantiivi,new
demari,substantiivi,new
dementointi,substantiivi,new
demilitarisointi,substantiivi,new
deminutiivi,substantiivi,new
demiurgi,substantiivi,new
demobilisointi,substantiivi,new
demodulaattori,substantiivi,new
demokraatti,substantiivi,new
demokratisointi,substantiivi,new
demoni,substantiivi,new
demonisointi,substantiivi,new
demonstratiivipronomini,substantiivi,new
demonstrointi,substantiivi,new
demoralisointi,substantiivi,new
denaari,substantiivi,new
denaturointi,substantiivi,new
dendriitti,substantiivi,new
dendrologi,substantiivi,new
densimetri,substantiivi,new
dentaali,substantiivi,new
deodorantti,substantiivi,new
departementti,substantiivi,new
deponointi,substantiivi,new
depressantti,substantiivi,new
derivointi,substantiivi,new
dermatiitti,substantiivi,new
dermatologi,substantiivi,new
dervissi,substantiivi,new
desantti,substantiivi,new
desentralisointi,substantiivi,new
desi,substantiivi,new
desibeli,substantiivi,new
desiili,substantiivi,new
desimaali,substantiivi,new
desimetri,substantiivi,new
desinfektointi,substantiivi,new
desinfiointi,substantiivi,new
desomorfiini,substantiivi,new
despootti,substantiivi,new
despotismi,substantiivi,new
detalji,substantiivi,new
detektori,substantiivi,new
determinantti,substantiivi,new
determinismi,substantiivi,new
deterministi,substantiivi,new
devalvointi,substantiivi,new
devonikausi,substantiivi,old
diaari,substantiivi,new
diadeemi,substantiivi,new
diagnoosi,substantiivi,new
diagnosointi,substantiivi,new
diagonaali,substantiivi,new
diagrammi,substantiivi,new
diakoni,substantiivi,new
dialogi,substantiivi,new
dialyysi,substantiivi,new
diaprojektori,substantiivi,new
diariointi,substantiivi,new
